product_id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,title,image_filename
1842,Men,Footwear,Shoes,Sports Shoes,White,Fall,2010,Sports,Puma Men's Calibre Rubber Shoe,1842.jpg
5320,Men,Footwear,Shoes,Casual Shoes,Grey,Summer,2011,Casual,Fila Men's Montello Grey Black Red Shoe,5320.jpg
21915,Women,Apparel,Apparel Set,Kurta Sets,Orange,Fall,2011,Ethnic,Biba Women Orange & Purple Printed Churidar Kurta with Dupatta,21915.jpg
40160,Boys,Apparel,Bottomwear,Jeans,Navy Blue,Summer,2012,Casual,Gini and Jony Boys Raw Wash Navy Blue Jeans,40160.jpg
52780,Women,Accessories,Wallets,Wallets,Coffee Brown,Fall,2012,Casual,Fiorelli Women Coffee Brown Wallet,52780.jpg
18198,Men,Apparel,Bottomwear,Trousers,Blue,Fall,2011,Casual,Highlander Men Solid Blue Trouser,18198.jpg
45142,Men,Accessories,Watches,Watches,Black,Winter,2016,Casual,Casio Enticer Men Black Dial Analogue Watch MTP-1291D-1A3VDF(A415),45142.jpg
23536,Men,Personal Care,Fragrance,Perfume and Body Mist,Red,Spring,2017,Casual,Dunhill Desire Men Perfume,23536.jpg
29881,Men,Accessories,Eyewear,Sunglasses,Black,Winter,2016,Casual,Mayhem Men Aviator Sunglasses 1019-204,29881.jpg
54660,Women,Accessories,Watches,Watches,Black,Winter,2016,Casual,Fastrack Women White Dial  Watch,54660.jpg
54564,Women,Apparel,Topwear,Kurtas,Maroon,Summer,2012,Ethnic,Sushilas Women Printed Maroon Kurta,54564.jpg
40450,Men,Footwear,Shoes,Casual Shoes,Brown,Winter,2018,Casual,Red Tape Men Brown Shoes,40450.jpg
27640,Men,Footwear,Shoes,Sports Shoes,Grey,Summer,2012,Sports,Reebok Men Grey Premier Trinity Sports Shoes,27640.jpg
34850,Men,Footwear,Shoes,Sports Shoes,White,Summer,2012,Sports,ADIDAS Men Falcon Elite White Sports Shoes,34850.jpg
4264,Women,Apparel,Topwear,Tshirts,Red,Summer,2011,Casual,Jealous 21 Women's Always Late But Burgundy Red T-shirt,4264.jpg
1794,Unisex,Accessories,Bags,Backpacks,Brown,Summer,2011,Sports,Newfeel Brown 22L Bag,1794.jpg
14396,Women,Footwear,Shoes,Heels,Navy Blue,Fall,2011,Casual,Enroute Women Casual Navy Flats,14396.jpg
24530,Women,Apparel,Topwear,Kurtas,Blue,Fall,2011,Ethnic,Mother Earth Women Blue Kurta,24530.jpg
54131,Women,Footwear,Shoes,Heels,Brown,Winter,2012,Casual,Rocia Women Brown Sandals,54131.jpg
8976,Men,Footwear,Shoes,Sports Shoes,White,Fall,2011,Sports,Puma Men SL Tech Lo SF White Sports Shoes,8976.jpg
52589,Women,Accessories,Bags,Clutches,White,Summer,2012,Casual,Mod'acc Women White Clutch,52589.jpg
34900,Women,Apparel,Topwear,Dupatta,Green,Summer,2012,Ethnic,Fabindia Women Printed Green Dupatta,34900.jpg
50758,Men,Footwear,Sandal,Sandals,Khaki,Winter,2018,Casual,Red Chief Men Khaki Sandals,50758.jpg
6123,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,2011,Casual,UCB Men's Solid Fabric Navy T-shirt,6123.jpg
8318,Men,Apparel,Topwear,Tshirts,Grey,Spring,2013,Casual,Wildcraft Men Grey T-shirt,8318.jpg
6121,Unisex,Accessories,Bags,Backpacks,Black,Summer,2011,Casual,Puma Unisex Foundation Black Backpack,6121.jpg
54035,Women,Accessories,Bags,Handbags,Brown,Summer,2012,Casual,Kiara Women Brown Handbag,54035.jpg
12455,Men,Accessories,Belts,Belts,Brown,Fall,2011,Casual,Timberland Men Casual Brown Belt,12455.jpg
24628,Men,Footwear,Shoes,Formal Shoes,Black,Fall,2011,Formal,Arrow Men Black Formal Shoes,24628.jpg
42248,Women,Apparel,Topwear,Tops,Pink,Summer,2012,Casual,Sepia Women Pink Top,42248.jpg
5321,Men,Footwear,Shoes,Casual Shoes,Red,Summer,2011,Casual,Fila Men's Retro Red Casual Shoe,5321.jpg
35403,Men,Footwear,Flip Flops,Flip Flops,Black,Summer,2013,Casual,Enroute Men Black Flip Flops,35403.jpg
41458,Men,Footwear,Sandal,Sandals,Grey,Summer,2013,Casual,Lee Cooper Men Grey Sandals,41458.jpg
10845,Men,Apparel,Topwear,Tshirts,Red,Fall,2011,Casual,Wrangler Men Falcon Print Red T-Shirts,10845.jpg
45915,Women,Accessories,Watches,Watches,Steel,Winter,2016,Casual,Maxima Women Steel Watch,45915.jpg
33710,Men,Footwear,Shoes,Casual Shoes,Black,Winter,2012,Casual,Cobblerz Men Black Shoes,33710.jpg
34434,Women,Apparel,Topwear,Tshirts,Blue,Summer,2012,Casual,Myntra Women Love Only Blue T-shirt,34434.jpg
45724,Women,Apparel,Topwear,Kurtas,Maroon,Summer,2012,Ethnic,Folklore Women Maroon Kurta,45724.jpg
2503,Men,Footwear,Shoes,Casual Shoes,Brown,Fall,2012,Casual,Numero Uno Men's Casual Brown Canvas Shoe,2503.jpg
4323,Unisex,Apparel,Topwear,Tshirts,Green,Summer,2011,Casual,Tantra Kid's Unisex Ice Cream Aqua Green Kidswear,4323.jpg
25632,Women,Accessories,Watches,Watches,Pink,Winter,2016,Casual,Fastrack Women Pink Dial Watch,25632.jpg
12709,Men,Footwear,Shoes,Sports Shoes,Grey,Fall,2011,Sports,Nike Men Air Impetus Grey Sports Shoes,12709.jpg
27672,Women,Accessories,Bags,Handbags,Brown,Winter,2015,Casual,Murcia Women Brown Handbag,27672.jpg
16519,Men,Apparel,Bottomwear,Jeans,Black,Fall,2011,Casual,Locomotive Men Washed Black Jeans,16519.jpg
31953,Men,Footwear,Shoes,Sports Shoes,White,Summer,2012,Sports,Nike Men T-lite White Sports Shoes,31953.jpg
20892,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2011,Casual,Basics Men Black Casual Shoes,20892.jpg
28581,Men,Accessories,Watches,Watches,Black,Winter,2016,Casual,ADIDAS Originals Men Black Dial Watch ADH2653,28581.jpg
51162,Men,Accessories,Socks,Socks,Black,Summer,2016,Casual,Raymond Men Black Socks,51162.jpg
2339,Men,Apparel,Topwear,Tshirts,White,Fall,2010,Casual,Reebok Men White T-shirt,2339.jpg
6010,Men,Apparel,Topwear,Shirts,Purple,Summer,2010,Casual,Highlander Men Purple Green Checked Shirt,6010.jpg
5005,Women,Apparel,Bottomwear,Skirts,Red,Summer,2011,Casual,Gini and Jony Girl's Glinda Red Kidswear,5005.jpg
19680,Women,Apparel,Topwear,Sweatshirts,Magenta,Summer,2011,Casual,United Colors of Benetton Women Solid Magenta Sweatshirt,19680.jpg
59282,Unisex,Accessories,Watches,Watches,Black,Winter,2016,Casual,Titan Him & Her Black Watches,59282.jpg
30849,Women,Apparel,Topwear,Kurtas,Navy Blue,Summer,2012,Ethnic,Fabindia Women Navy Blue Printed Kurta,30849.jpg
5024,Men,Apparel,Topwear,Shirts,White,Summer,2011,Casual,Levis Kids Boy's Caspian White Kidswear,5024.jpg
20290,Men,Apparel,Innerwear,Innerwear Vests,Grey,Summer,2016,Casual,Facit Men Printed Grey Innerwear Vest,20290.jpg
14767,Men,Apparel,Topwear,Shirts,White,Fall,2012,Formal,Arrow Men Stripes White Shirts,14767.jpg
28332,Men,Footwear,Sandal,Sandals,Black,Winter,2018,Casual,Red Tape Men Casual Black Sandals,28332.jpg
47562,Women,Footwear,Shoes,Heels,White,Winter,2012,Casual,Portia Women White Sandals,47562.jpg
6244,Women,Apparel,Topwear,Tshirts,Black,Summer,2011,Casual,Lee Women's Rihana Black T-shirt,6244.jpg
26586,Men,Footwear,Shoes,Sports Shoes,White,Summer,2012,Sports,Puma Men Esito Vulc Cetto White Sports Shoes,26586.jpg
29283,Men,Apparel,Topwear,Shirts,Purple,Summer,2012,Casual,Wrangler Men Hard Rock Purple Shirt,29283.jpg
12185,Men,Apparel,Topwear,Shirts,Black,Fall,2011,Casual,Basics Men Black Slim Fit Shirt,12185.jpg
49059,Men,Footwear,Shoes,Casual Shoes,Charcoal,Summer,2012,Casual,Flying Machine Men Charcoal Shoes,49059.jpg
10736,Women,Accessories,Bags,Handbags,Red,Winter,2015,Casual,Murcia Women Mcc Red Red Handbags,10736.jpg
6991,Men,Apparel,Topwear,Tshirts,White,Summer,2011,Casual,s.Oliver Men's Polo Grey Collar White T-shirt,6991.jpg
34067,Women,Apparel,Topwear,Shirts,Cream,Summer,2012,Casual,Femella Women Printed Cream Shirt,34067.jpg
9643,Men,Apparel,Topwear,Shirts,Green,Fall,2011,Casual,Indigo Nation Men Checks Shirt Green Shirts,9643.jpg
27962,Men,Apparel,Innerwear,Trunk,White,Fall,2018,Casual,Jockey Men White SPORT PERFORMANCE Trunks SP08,27962.jpg
39998,Men,Accessories,Eyewear,Sunglasses,Metallic,Winter,2016,Casual,Park Avenue Men Metallic Frame Sunglasses,39998.jpg
48749,Women,Accessories,Jewellery,Bangle,Silver,Summer,2015,Casual,Lucera Women Silver Bangle,48749.jpg
38789,Men,Apparel,Topwear,Tshirts,Green,Summer,2012,Casual,Batman Men Crew Neck Green T-shirt,38789.jpg
47353,Women,Accessories,Bags,Handbags,Gold,Summer,2012,Casual,Baggit Women Multi Coloured Handbag,47353.jpg
49267,Men,Accessories,Socks,Socks,Brown,Summer,2016,Casual,Arrow Men Pack of 5 Plating Design Socks,49267.jpg
54478,Men,Apparel,Innerwear,Briefs,Grey Melange,Summer,2016,Casual,Hanes Men Grey Premium String Bikini Briefs,54478.jpg
16110,Men,Accessories,Eyewear,Sunglasses,Brown,Winter,2016,Casual,M tv Men My Fab Eyewear Brown Sunglasses,16110.jpg
36147,Men,Footwear,Flip Flops,Flip Flops,Black,Fall,2012,Casual,Nike Men Chroma Thong II Black Flip Flops,36147.jpg
